start	end	text
0	8080	sword there wouldn't be a way to tell what event the photo is from right or is it if you click on
8080	12880	like the the photo like if you click on the details then i'll tell you
16640	19440	detail meaning the description yeah yeah
23280	28160	uh yeah i mean with with the tags of course we can tag everything we want so if you want we could
28160	32640	also create like an event tag and then have like multiple sub tags for that um it's completely up
32640	38960	to you guys the tag system is pretty like loose in that way so if you want to type by event we can
38960	44480	type by event um it already has a photographer in like built-in system so you can press search by
44480	50560	photographer too so it's it's just really um up to what we wanted to do although now i just came up
50560	55280	with the mvp 2024 because it's just like a description for it right otherwise it just becomes a generic
55280	60400	like outdoor bible but yeah i see what you guys are saying in that yeah like we might not need
60400	64880	to know it's from the mvp 2024 source right and then we can just put that in the description or whatever
67200	67440	yeah
71120	78880	yeah i um yeah so i was thinking like if we if we want to approach the naming from that
78880	88400	that the premise that we want to have only what is minimally necessary um whether that's the approach
88400	94720	we want um yeah if that's the case i i would say for sure the date i think that's very helpful
95280	103680	um and then also some kind of a identifier right like bible outdoor like those identifiers i think are
103680	108880	very helpful um i mentioned the date because i know that sometimes when people look at photos they
108880	114640	might be like oh this is outdated and then they just kind of have a way to verify very quickly oh this
114640	123120	photo is from like 20 years ago um yeah we might want to have more photos in these kind of um
123760	128960	game right but then yeah more more recent photos so yeah that's why i was thinking like if there's a
128960	134240	very quick way just from the date and mentioned in the file you can tell this is a really old photo or
134240	142000	this is like not that old yeah yeah for sure and then uh resource space also has a feature where you
142000	145520	can actually like archive some items so if you're going through and you're like oh you know this item
145520	149680	is like really old we don't want people using this we can just like park it archive it so it'll be there
149680	154480	for like historical like viewing purposes but you probably will not be able to like do anything
154480	160240	uh you probably won't be able to download it sorry yeah so that's a feature for resource space too
161040	168720	yeah in the in the data itself for each of the photo is there a place where we enter some kind of a date
168720	179520	info for the photo um i don't have resource based pull up right now so uh we can check when holly does
179520	184960	his presentation but i think there should be a date attached along with the location unless i'm
184960	201200	remembering wrong holly um so when so the way i get all the photos is i download them from lm the photos
201200	208240	directly so i don't really get to get all the details because if i want to get all the details like directly
208240	221760	if like everyone put on uh uh m photos we need like we need verification from the dk to like get all the
222320	229600	details from that so what we get is like no dates or something so what we can verify just
229600	241600	if they have like 2024 mvp or this folder name is like 2012 we can put them but we don't have like access to that
243280	254400	okay um yeah i i i i'm not sure if we have to have the date info for each of the photos i was just wondering if
254400	259280	there's something something like that especially if it's going to be part of the file name already i
259280	267760	think it's less even less of a concern for me um i was just curious and the other thing is like let's
267760	273840	say if we do want to put a date um for at least the most recent batches i don't know how easy it is to go
273840	282560	back to the other photos and get that info um but let's say if we want it from from all the mvps because the
282560	288000	mvps are already grouped by year right and we can just pick the last date of that mvp right as the
288720	293680	quote-unquote date for that particular batch of photos yeah yeah
295840	300480	sorry i'm not sure uh can you guys see this this screen right here the resource space with my dog
300480	305520	yeah yeah so there's uh yeah there's a date section the metadata is automatically pulled
305520	314880	uh okay yeah i see so because the photos in in the google photos i think there is a date right um
316160	321200	okay yes there should be um you can see the metadata and then when i pull them in from the
321200	326960	albums it puts them in so i tried doing it with the 1999 like sunflower photo it shows up as 1999 in my
326960	334240	own photos oh okay okay yeah so the metadata should automatically be attached i believe okay yeah it's
334240	341360	just i think sometimes when people take their photo using whatever camera um or phone where the date is
341360	348400	not set correctly then that's where maybe there could be some weird date data coming through right
348400	358720	yeah um so maybe that's just something we can um note down that in the guidelines that like in general
358720	367280	just make sure that they reflect um like correctly right um yeah so that at least it's it's in the note
367280	373920	it's in the guidelines um yeah so we don't get like you know how sometimes people's camera is set to like
373920	382240	50 years ago it's like you get these photos that's like 1972 or whatever whatnot it's just kind of odd
382240	388560	i i was just thinking it would be good to clean up those kind of info as part of the process right
388560	394560	of creating these in the art in the in the system yeah yeah for sure yeah so you can see for example
394560	399920	like this one is from one of the mvp 2024 photos right so it has like a correct date of roughly when mvp
399920	404640	would happen and you can see all this other like metadata of like what cameras used to take a photo
405280	413360	and then um yeah i don't know who else would have a chinese camera besides kelly but oh right yeah okay
413360	419040	yeah like this one's i i don't know what this photo was taken so i don't know this is the correct uh
419040	425440	date tag but i can but these these ones are correct for sure okay okay yeah maybe maybe we don't need to
425440	430880	spend the effort to go and make sure if those are correct it's just the the one that is very like
430880	440640	obviously like um you know from 50 years ago we just need to maybe we redate those but like the recent
440640	447280	ones you know if they're off by like months or whatnot you don't need to go back because it's possible i
447280	454960	think during mvp some people may actually upload photos that they took months ago uh because it's a good photo
454960	459920	um they they still uploaded it it was even though it was not something they did you know as part of
459920	466320	the field trip or during the mvp so that's that's fine as well we can just keep the original date for
466320	472080	those right there's no need to read those yeah yeah that's all fine like i think in the grand scheme
472080	475920	of things we can like of course discuss this as we get closer and closer like if this becomes a real
475920	480400	thing uh we can discuss this holly and i would just kind of come in with like an initial plan and then
480400	486000	yeah we can just see how it goes from there it's not a huge deal honestly sounds good yeah because
486000	490240	like it's just a file name right i think the resource space is a little more important since
490240	494320	this is how you actually search for stuff the file name is not like the most important thing
494960	504240	to us okay i see i see file name is more like just the actual file names that show up in wherever we
504240	510000	store them practices in the system yeah so like in the google drive or whatever if the backup it will
510000	514080	it will just show up as this name but it won't be like the most important thing because the name
514080	517920	will be here right but if you want to search for lunar you can just search up like the tags and stuff
517920	523760	and then yeah but yeah so it's just something we're more open to like discussing as we get closer too
523760	532720	yeah for sure um sorry any more questions on uh i guess the the naming scheme uh not before i go into
532720	543520	detail yeah okay okay yeah so um yeah as mentioned previously uh yeah subject's not really that important
543520	550400	we can of course figure out later um however holly and i did also come up with this thingy so it's like
550400	557520	the end here um it's kind of like the version um of the photo right there's because um i know there's
557520	563840	like multiple different stuff so for example like canva or canva also has to use the photos and then
